trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.85, 'e': 0.9991181296463766}",25,0,-154.87818987330925,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
43,False,"{'a': 0.85, 'e': 0.9990756424412622}",30,0,-21.46582452212531,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.85, 'e': 0.9990321561605888}",20,7,-10.995844526614988,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.85, 'e': 0.9989876708478425}",25,0,-56.566035877903296,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.85, 'e': 0.9989421865475084}",30,0,-122.72601124063655,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
47,False,"{'a': 0.85, 'e': 0.9988957033050712}",30,0,-238.9529256629173,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
48,False,"{'a': 0.85, 'e': 0.9988482211670138}",25,0,-94.91526124862402,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
49,False,"{'a': 0.85, 'e': 0.9987997401808185}",20,0,-158.07254178386344,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
50,False,"{'a': 0.85, 'e': 0.9987502603949663}",20,0,-16.992774911424355,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.85, 'e': 0.9986997818589368}",20,0,-70.10195322947476,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.85, 'e': 0.9986483046232089}",20,0,-90.84575711170328,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.85, 'e': 0.9985958287392593}",20,0,-126.16632657737802,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.85, 'e': 0.9985423542595644}",20,0,-75.5873540535612,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
55,False,"{'a': 0.85, 'e': 0.9984878812375985}",25,0,-91.7467015321372,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.85, 'e': 0.9984324097278344}",20,0,-37.776876319282394,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.85, 'e': 0.9983759397857438}",20,0,-128.17702064426493,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
58,False,"{'a': 0.85, 'e': 0.9983184714677966}",25,4,-81.75613900989798,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.85, 'e': 0.9982600048314613}",30,0,-258.36993925746197,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
60,False,"{'a': 0.85, 'e': 0.9982005399352042}",35,0,-50.951988279319636,"{0: 25, 1: 4, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.85, 'e': 0.9981400768384904}",20,0,-3.783505751476805,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.85, 'e': 0.9980786156017829}",25,0,-218.13978648017596,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
63,False,"{'a': 0.85, 'e': 0.9980161562865429}",25,0,-193.50043002473123,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
64,False,"{'a': 0.85, 'e': 0.99795269895523}",20,15,12.026046820702422,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.85, 'e': 0.9978882436713011}",25,0,-164.2495547562035,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.85, 'e': 0.9978227904992117}",20,0,-149.78094435974833,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.85, 'e': 0.9977563395044151}",25,0,-72.59160777297683,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.85, 'e': 0.9976888907533621}",20,0,-123.81744770869531,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.85, 'e': 0.9976204443135014}",25,0,-123.07605768853192,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
70,False,"{'a': 0.85, 'e': 0.9975510002532796}",30,0,-28.425469326368425,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.85, 'e': 0.9974805586421406}",30,5,-22.09235341731093,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.85, 'e': 0.9974091195505261}",20,0,-60.50241994007165,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.85, 'e': 0.9973366830498752}",20,0,-104.28173321849557,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.85, 'e': 0.9972632492126244}",20,0,-47.84114078324962,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.85, 'e': 0.9971888181122075}",35,0,-249.55347487930516,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
76,False,"{'a': 0.85, 'e': 0.9971133898230555}",30,0,-149.5866583441971,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
77,False,"{'a': 0.85, 'e': 0.9970369644205967}",20,0,-87.96153155786749,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.85, 'e': 0.9969595419812568}",30,0,-154.732452386847,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
79,False,"{'a': 0.85, 'e': 0.9968811225824579}",20,0,-95.40740377832567,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.85, 'e': 0.9968017063026194}",30,0,-122.87529926911864,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
81,False,"{'a': 0.85, 'e': 0.9967212932211577}",20,0,-130.40979356230426,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
82,False,"{'a': 0.85, 'e': 0.9966398834184859}",20,0,-20.34991595537374,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
83,False,"{'a': 0.85, 'e': 0.9965574769760137}",25,0,-178.55156475083626,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
84,False,"{'a': 0.85, 'e': 0.9964740739761475}",20,0,-42.55308550392029,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
85,False,"{'a': 0.85, 'e': 0.9963896745022904}",25,0,-175.5994766988137,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
86,False,"{'a': 0.85, 'e': 0.996304278638842}",30,0,-144.90184756548334,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
